model,attack,base_class,target_class,epochs,lr,poison_num,epsilon,poison_num.1,watermark_opacity,step_size,iterations,n_runs,n_success,asr,clean_acc_mean,poisoned_acc_mean
model_mnist_lr0.0075,fc,4,9,20,0.1,30,0.05,30,0.2,0.01,4000,5,0,0.0,0.9266,0.92132
model_mnist_lr0.0075,fc,4,9,20,0.1,60,0.01,60,0.0,0.01,2000,5,0,0.0,0.9266,0.91862
model_mnist_lr0.0075,fc,4,9,20,0.1,60,0.01,60,0.0,0.01,4000,5,0,0.0,0.9266,0.8834
model_mnist_lr0.0075,fc,4,9,20,0.1,60,0.01,60,0.2,0.01,2000,5,0,0.0,0.9266,0.92078
model_mnist_lr0.0075,fc,4,9,20,0.1,60,0.01,60,0.2,0.01,4000,5,0,0.0,0.9266,0.9164200000000001
model_mnist_lr0.0075,fc,4,9,20,0.1,60,0.03,60,0.0,0.01,2000,5,0,0.0,0.9266,0.91852
model_mnist_lr0.0075,fc,4,9,20,0.1,60,0.03,60,0.0,0.01,4000,5,0,0.0,0.9266,0.9137599999999999
model_mnist_lr0.0075,fc,4,9,20,0.1,60,0.03,60,0.2,0.01,2000,5,0,0.0,0.9266,0.91944
model_mnist_lr0.0075,fc,4,9,20,0.1,60,0.03,60,0.2,0.01,4000,5,0,0.0,0.9266,0.9212999999999999
model_mnist_lr0.0075,fc,4,9,20,0.1,60,0.05,60,0.0,0.01,2000,5,0,0.0,0.9266,0.91874
model_mnist_lr0.0075,fc,4,9,20,0.1,60,0.05,60,0.0,0.01,4000,5,0,0.0,0.9266,0.92072
model_mnist_lr0.0075,fc,4,9,20,0.1,60,0.05,60,0.2,0.01,2000,5,0,0.0,0.9266,0.9159200000000001
model_mnist_lr0.0075,fc,4,9,20,0.1,60,0.05,60,0.2,0.01,4000,5,0,0.0,0.9266,0.92348
model_mnist_lr0.0075,fc,6,5,20,0.1,30,0.01,30,0.0,0.01,2000,5,0,0.0,0.9266,0.9196199999999999
model_mnist_lr0.0075,fc,6,5,20,0.1,30,0.01,30,0.0,0.01,4000,5,0,0.0,0.9266,0.9179599999999999
model_mnist_lr0.0075,fc,6,5,20,0.1,30,0.01,30,0.2,0.01,2000,5,0,0.0,0.9266,0.9159200000000001
model_mnist_lr0.0075,fc,6,5,20,0.1,30,0.01,30,0.2,0.01,4000,5,0,0.0,0.9266,0.91098
model_mnist_lr0.0075,fc,6,5,20,0.1,30,0.03,30,0.0,0.01,2000,5,0,0.0,0.9266,0.9106200000000001
model_mnist_lr0.0075,fc,6,5,20,0.1,30,0.03,30,0.0,0.01,4000,5,0,0.0,0.9266,0.91706
model_mnist_lr0.0075,fc,6,5,20,0.1,30,0.03,30,0.2,0.01,2000,5,0,0.0,0.9266,0.9197199999999999
model_mnist_lr0.0075,fc,6,5,20,0.1,30,0.03,30,0.2,0.01,4000,5,0,0.0,0.9266,0.91792
model_mnist_lr0.0075,fc,6,5,20,0.1,30,0.05,30,0.0,0.01,2000,5,0,0.0,0.9266,0.9195399999999999
model_mnist_lr0.0075,fc,6,5,20,0.1,30,0.05,30,0.0,0.01,4000,5,0,0.0,0.9266,0.91558
model_mnist_lr0.0075,fc,6,5,20,0.1,30,0.05,30,0.2,0.01,2000,5,0,0.0,0.9266,0.92142
model_mnist_lr0.0075,fc,6,5,20,0.1,30,0.05,30,0.2,0.01,4000,5,0,0.0,0.9266,0.91576
model_mnist_lr0.0075,fc,6,5,20,0.1,60,0.01,60,0.0,0.01,2000,5,0,0.0,0.9266,0.9067400000000001
model_mnist_lr0.0075,fc,6,5,20,0.1,60,0.01,60,0.0,0.01,4000,5,0,0.0,0.9266,0.9165599999999999
model_mnist_lr0.0075,fc,6,5,20,0.1,60,0.01,60,0.2,0.01,2000,5,0,0.0,0.9266,0.91856
model_mnist_lr0.0075,fc,6,5,20,0.1,60,0.01,60,0.2,0.01,4000,5,0,0.0,0.9266,0.92132
model_mnist_lr0.0075,fc,6,5,20,0.1,60,0.03,60,0.0,0.01,2000,5,0,0.0,0.9266,0.92052
model_mnist_lr0.0075,fc,6,5,20,0.1,60,0.03,60,0.0,0.01,4000,5,0,0.0,0.9266,0.9229800000000001
model_mnist_lr0.0075,fc,6,5,20,0.1,60,0.03,60,0.2,0.01,2000,5,0,0.0,0.9266,0.91822
model_mnist_lr0.0075,fc,6,5,20,0.1,60,0.03,60,0.2,0.01,4000,5,0,0.0,0.9266,0.9087999999999999
model_mnist_lr0.0075,fc,6,5,20,0.1,60,0.05,60,0.0,0.01,2000,5,0,0.0,0.9266,0.9098799999999999
model_mnist_lr0.0075,fc,6,5,20,0.1,60,0.05,60,0.0,0.01,4000,5,0,0.0,0.9266,0.9211
model_mnist_lr0.0075,fc,6,5,20,0.1,60,0.05,60,0.2,0.01,2000,5,0,0.0,0.9266,0.9206799999999999
model_mnist_lr0.0075,fc,6,5,20,0.1,60,0.05,60,0.2,0.01,4000,5,0,0.0,0.9266,0.9192199999999999
model_mnist_lr0.0075,fc,8,3,20,0.1,30,0.01,30,0.0,0.01,2000,5,0,0.0,0.9266,0.9171400000000001
